Gate,X Parameter,Y Parameter,Count,%Total,%Gated
R3,BL1-A,,507,5.070,5.070
R3,BL1-A,YL2-A,507,5.070,73.799
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,687,6.870,6.870
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,42,0.420,0.420
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4710,47.100,47.100
LG1,,,1016,10.160,10.160
GFP+,BL1-A,,5037,50.370,81.255
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6199,61.990,61.990
mCh+,YL2-A,,66,0.660,1.065
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6199,61.990,61.990
R1,FSC-H,SSC-H,6199,61.990,61.990
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,5108,51.080,82.400
mCherry+/GFP+,YL2-A,BL1-A,37,0.370,0.597
mCherry-/GFP-,YL2-A,BL1-A,841,8.410,13.567
mCherry+/GFP-,YL2-A,BL1-A,213,2.130,3.436
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6199,61.990,61.990
R2,BL1-A,YL2-A,28,0.280,42.424
R4,BL1-A,YL2-A,10,0.100,15.152
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,66,0.660,0.660
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,28,0.280,0.280
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4195,41.950,41.950
R3,BL1-A,YL2-A,4195,41.950,83.284
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,5037,50.370,50.370
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,10,0.100,0.100
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6199,61.990,61.990
LG1,,,66,0.660,0.660
GFP+,BL1-A,,4186,41.860,79.582
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,5260,52.600,52.600
mCh+,YL2-A,,105,1.050,1.996
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,5260,52.600,52.600
R1,FSC-H,SSC-H,5260,52.600,52.600
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,4218,42.180,80.190
mCherry+/GFP+,YL2-A,BL1-A,33,0.330,0.627
mCherry-/GFP-,YL2-A,BL1-A,756,7.560,14.373
mCherry+/GFP-,YL2-A,BL1-A,253,2.530,4.810
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,5260,52.600,52.600
R2,BL1-A,YL2-A,67,0.670,63.810
R4,BL1-A,YL2-A,18,0.180,17.143
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,105,1.050,1.050
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,67,0.670,0.670
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3526,35.260,35.260
R3,BL1-A,YL2-A,3526,35.260,84.233
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,4186,41.860,41.860
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,18,0.180,0.180
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,5260,52.600,52.600
LG1,,,105,1.050,1.050
GFP+,BL1-A,,5557,55.570,79.830
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6961,69.610,69.610
mCh+,YL2-A,,173,1.730,2.485
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6961,69.610,69.610
R1,FSC-H,SSC-H,6961,69.610,69.610
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,5498,54.980,78.983
mCherry+/GFP+,YL2-A,BL1-A,120,1.200,1.724
mCherry-/GFP-,YL2-A,BL1-A,793,7.930,11.392
mCherry+/GFP-,YL2-A,BL1-A,550,5.500,7.901
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6961,69.610,69.610
R2,BL1-A,YL2-A,87,0.870,50.289
R4,BL1-A,YL2-A,34,0.340,19.653
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,173,1.730,1.730
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,87,0.870,0.870
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4706,47.060,47.060
R3,BL1-A,YL2-A,4706,47.060,84.686
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,5557,55.570,55.570
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,34,0.340,0.340
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6961,69.610,69.610
LG1,,,173,1.730,1.730
GFP+,BL1-A,,1115,11.150,17.109
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6517,65.170,65.170
mCh+,YL2-A,,1595,15.950,24.474
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6517,65.170,65.170
R1,FSC-H,SSC-H,6517,65.170,65.170
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,943,9.430,14.470
mCherry+/GFP+,YL2-A,BL1-A,200,2.000,3.069
mCherry-/GFP-,YL2-A,BL1-A,516,5.160,7.918
mCherry+/GFP-,YL2-A,BL1-A,4858,48.580,74.544
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6517,65.170,65.170
R2,BL1-A,YL2-A,1374,13.740,86.144
R4,BL1-A,YL2-A,81,0.810,5.078
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1595,15.950,15.950
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,1374,13.740,13.740
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,813,8.130,8.130
R3,BL1-A,YL2-A,813,8.130,72.915
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1115,11.150,11.150
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,81,0.810,0.810
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6517,65.170,65.170
LG1,,,1595,15.950,15.950
GFP+,BL1-A,,4948,49.480,78.640
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6292,62.920,62.920
mCh+,YL2-A,,198,1.980,3.147
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6292,62.920,62.920
R1,FSC-H,SSC-H,6292,62.920,62.920
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,5000,50.000,79.466
mCherry+/GFP+,YL2-A,BL1-A,88,0.880,1.399
mCherry-/GFP-,YL2-A,BL1-A,836,8.360,13.287
mCherry+/GFP-,YL2-A,BL1-A,368,3.680,5.849
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6292,62.920,62.920
R2,BL1-A,YL2-A,92,0.920,46.465
R4,BL1-A,YL2-A,41,0.410,20.707
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,198,1.980,1.980
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,92,0.920,0.920
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3984,39.840,39.840
R3,BL1-A,YL2-A,3984,39.840,80.517
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,4948,49.480,49.480
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,41,0.410,0.410
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6292,62.920,62.920
LG1,,,198,1.980,1.980
GFP+,BL1-A,,12,0.120,8.276
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,145,1.450,1.450
mCh+,YL2-A,,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,145,1.450,1.450
R1,FSC-H,SSC-H,145,1.450,1.450
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,12,0.120,8.276
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,132,1.320,91.034
mCherry+/GFP-,YL2-A,BL1-A,1,0.010,0.690
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,145,1.450,1.450
R2,BL1-A,YL2-A,0,0.000,N/A
R4,BL1-A,YL2-A,0,0.000,N/A
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,6,0.060,0.060
R3,BL1-A,YL2-A,6,0.060,50.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,12,0.120,0.120
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,145,1.450,1.450
LG1,,,0,0.000,0.000
GFP+,BL1-A,,18,0.180,4.663
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,386,3.860,3.860
mCh+,YL2-A,,10,0.100,2.591
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,386,3.860,3.860
R1,FSC-H,SSC-H,386,3.860,3.860
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,18,0.180,4.663
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.259
mCherry-/GFP-,YL2-A,BL1-A,338,3.380,87.565
mCherry+/GFP-,YL2-A,BL1-A,29,0.290,7.513
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,386,3.860,3.860
R2,BL1-A,YL2-A,9,0.090,90.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,10,0.100,0.100
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,9,0.090,0.090
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,11,0.110,0.110
R3,BL1-A,YL2-A,11,0.110,61.111
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,18,0.180,0.180
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,386,3.860,3.860
LG1,,,10,0.100,0.100
GFP+,BL1-A,,3769,37.690,79.398
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4747,47.470,47.470
mCh+,YL2-A,,23,0.230,0.485
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4747,47.470,47.470
R1,FSC-H,SSC-H,4747,47.470,47.470
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3828,38.280,80.640
mCherry+/GFP+,YL2-A,BL1-A,19,0.190,0.400
mCherry-/GFP-,YL2-A,BL1-A,812,8.120,17.106
mCherry+/GFP-,YL2-A,BL1-A,88,0.880,1.854
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4747,47.470,47.470
R2,BL1-A,YL2-A,13,0.130,56.522
R4,BL1-A,YL2-A,4,0.040,17.391
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,23,0.230,0.230
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,13,0.130,0.130
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3190,31.900,31.900
R3,BL1-A,YL2-A,3190,31.900,84.638
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3769,37.690,37.690
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,4,0.040,0.040
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4747,47.470,47.470
LG1,,,23,0.230,0.230
GFP+,BL1-A,,1883,18.830,60.353
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,3120,31.200,31.200
mCh+,YL2-A,,182,1.820,5.833
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,3120,31.200,31.200
R1,FSC-H,SSC-H,3120,31.200,31.200
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,1897,18.970,60.801
mCherry+/GFP+,YL2-A,BL1-A,42,0.420,1.346
mCherry-/GFP-,YL2-A,BL1-A,742,7.420,23.782
mCherry+/GFP-,YL2-A,BL1-A,439,4.390,14.071
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,3120,31.200,31.200
R2,BL1-A,YL2-A,144,1.440,79.121
R4,BL1-A,YL2-A,18,0.180,9.890
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,182,1.820,1.820
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,144,1.440,1.440
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,1497,14.970,14.970
R3,BL1-A,YL2-A,1497,14.970,79.501
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1883,18.830,18.830
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,18,0.180,0.180
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,3120,31.200,31.200
LG1,,,182,1.820,1.820
GFP+,BL1-A,,3070,30.700,68.557
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4478,44.780,44.780
mCh+,YL2-A,,188,1.880,4.198
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4478,44.780,44.780
R1,FSC-H,SSC-H,4478,44.780,44.780
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3066,30.660,68.468
mCherry+/GFP+,YL2-A,BL1-A,67,0.670,1.496
mCherry-/GFP-,YL2-A,BL1-A,679,6.790,15.163
mCherry+/GFP-,YL2-A,BL1-A,666,6.660,14.873
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4478,44.780,44.780
R2,BL1-A,YL2-A,144,1.440,76.596
R4,BL1-A,YL2-A,21,0.210,11.170
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,188,1.880,1.880
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,144,1.440,1.440
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2517,25.170,25.170
R3,BL1-A,YL2-A,2517,25.170,81.987
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3070,30.700,30.700
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,21,0.210,0.210
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4478,44.780,44.780
LG1,,,188,1.880,1.880
GFP+,BL1-A,,543,5.430,15.826
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,3431,34.310,34.310
mCh+,YL2-A,,733,7.330,21.364
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,3431,34.310,34.310
R1,FSC-H,SSC-H,3431,34.310,34.310
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,497,4.970,14.486
mCherry+/GFP+,YL2-A,BL1-A,58,0.580,1.690
mCherry-/GFP-,YL2-A,BL1-A,488,4.880,14.223
mCherry+/GFP-,YL2-A,BL1-A,2388,23.880,69.601
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,3431,34.310,34.310
R2,BL1-A,YL2-A,654,6.540,89.222
R4,BL1-A,YL2-A,22,0.220,3.001
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,733,7.330,7.330
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,654,6.540,6.540
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,417,4.170,4.170
R3,BL1-A,YL2-A,417,4.170,76.796
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,543,5.430,5.430
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,22,0.220,0.220
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,3431,34.310,34.310
LG1,,,733,7.330,7.330
GFP+,BL1-A,,4149,41.490,81.738
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,5076,50.760,50.760
mCh+,YL2-A,,27,0.270,0.532
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,5076,50.760,50.760
R1,FSC-H,SSC-H,5076,50.760,50.760
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,4199,41.990,82.723
mCherry+/GFP+,YL2-A,BL1-A,19,0.190,0.374
mCherry-/GFP-,YL2-A,BL1-A,759,7.590,14.953
mCherry+/GFP-,YL2-A,BL1-A,99,0.990,1.950
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,5076,50.760,50.760
R2,BL1-A,YL2-A,20,0.200,74.074
R4,BL1-A,YL2-A,5,0.050,18.519
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,27,0.270,0.270
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,20,0.200,0.200
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3504,35.040,35.040
R3,BL1-A,YL2-A,3504,35.040,84.454
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,4149,41.490,41.490
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,5,0.050,0.050
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,5076,50.760,50.760
LG1,,,27,0.270,0.270
GFP+,BL1-A,,3037,30.370,73.357
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4140,41.400,41.400
mCh+,YL2-A,,132,1.320,3.188
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4140,41.400,41.400
R1,FSC-H,SSC-H,4140,41.400,41.400
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3063,30.630,73.986
mCherry+/GFP+,YL2-A,BL1-A,27,0.270,0.652
mCherry-/GFP-,YL2-A,BL1-A,654,6.540,15.797
mCherry+/GFP-,YL2-A,BL1-A,396,3.960,9.565
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4140,41.400,41.400
R2,BL1-A,YL2-A,112,1.120,84.848
R4,BL1-A,YL2-A,13,0.130,9.848
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,132,1.320,1.320
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,112,1.120,1.120
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2508,25.080,25.080
R3,BL1-A,YL2-A,2508,25.080,82.581
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3037,30.370,30.370
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,13,0.130,0.130
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4140,41.400,41.400
LG1,,,132,1.320,1.320
GFP+,BL1-A,,5484,54.840,79.043
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6938,69.380,69.380
mCh+,YL2-A,,172,1.720,2.479
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6938,69.380,69.380
R1,FSC-H,SSC-H,6938,69.380,69.380
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,5456,54.560,78.639
mCherry+/GFP+,YL2-A,BL1-A,102,1.020,1.470
mCherry-/GFP-,YL2-A,BL1-A,812,8.120,11.704
mCherry+/GFP-,YL2-A,BL1-A,568,5.680,8.187
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6938,69.380,69.380
R2,BL1-A,YL2-A,79,0.790,45.930
R4,BL1-A,YL2-A,35,0.350,20.349
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,172,1.720,1.720
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,79,0.790,0.790
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4584,45.840,45.840
R3,BL1-A,YL2-A,4584,45.840,83.589
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,5484,54.840,54.840
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,35,0.350,0.350
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6938,69.380,69.380
LG1,,,172,1.720,1.720
GFP+,BL1-A,,1242,12.420,17.948
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6920,69.200,69.200
mCh+,YL2-A,,1723,17.230,24.899
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6920,69.200,69.200
R1,FSC-H,SSC-H,6920,69.200,69.200
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,995,9.950,14.379
mCherry+/GFP+,YL2-A,BL1-A,282,2.820,4.075
mCherry-/GFP-,YL2-A,BL1-A,426,4.260,6.156
mCherry+/GFP-,YL2-A,BL1-A,5217,52.170,75.390
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6920,69.200,69.200
R2,BL1-A,YL2-A,1321,13.210,76.669
R4,BL1-A,YL2-A,128,1.280,7.429
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1723,17.230,17.230
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,1321,13.210,13.210
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,866,8.660,8.660
R3,BL1-A,YL2-A,866,8.660,69.726
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1242,12.420,12.420
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,128,1.280,1.280
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6920,69.200,69.200
LG1,,,1723,17.230,17.230
GFP+,BL1-A,,3870,38.700,79.028
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4897,48.970,48.970
mCh+,YL2-A,,190,1.900,3.880
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4897,48.970,48.970
R1,FSC-H,SSC-H,4897,48.970,48.970
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3950,39.500,80.662
mCherry+/GFP+,YL2-A,BL1-A,60,0.600,1.225
mCherry-/GFP-,YL2-A,BL1-A,497,4.970,10.149
mCherry+/GFP-,YL2-A,BL1-A,390,3.900,7.964
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4897,48.970,48.970
R2,BL1-A,YL2-A,142,1.420,74.737
R4,BL1-A,YL2-A,29,0.290,15.263
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,190,1.900,1.900
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,142,1.420,1.420
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3064,30.640,30.640
R3,BL1-A,YL2-A,3064,30.640,79.173
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3870,38.700,38.700
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,29,0.290,0.290
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4897,48.970,48.970
LG1,,,190,1.900,1.900
GFP+,BL1-A,,10,0.100,3.040
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,329,3.290,3.290
mCh+,YL2-A,,1,0.010,0.304
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,329,3.290,3.290
R1,FSC-H,SSC-H,329,3.290,3.290
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,9,0.090,2.736
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.304
mCherry-/GFP-,YL2-A,BL1-A,319,3.190,96.960
mCherry+/GFP-,YL2-A,BL1-A,0,0.000,0.000
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,329,3.290,3.290
R2,BL1-A,YL2-A,0,0.000,0.000
R4,BL1-A,YL2-A,1,0.010,100.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1,0.010,0.010
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,7,0.070,0.070
R3,BL1-A,YL2-A,7,0.070,70.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,10,0.100,0.100
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,1,0.010,0.010
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,329,3.290,3.290
LG1,,,1,0.010,0.010
GFP+,BL1-A,,1,0.010,0.426
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,235,2.350,2.350
mCh+,YL2-A,,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,235,2.350,2.350
R1,FSC-H,SSC-H,235,2.350,2.350
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,1,0.010,0.426
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,230,2.300,97.872
mCherry+/GFP-,YL2-A,BL1-A,4,0.040,1.702
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,235,2.350,2.350
R2,BL1-A,YL2-A,0,0.000,N/A
R4,BL1-A,YL2-A,0,0.000,N/A
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,0,0.000,0.000
R3,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1,0.010,0.010
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,235,2.350,2.350
LG1,,,0,0.000,0.000
GFP+,BL1-A,,3203,32.030,75.400
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4248,42.480,42.480
mCh+,YL2-A,,64,0.640,1.507
